index,time,dTLB-load-misses,L1-icache-load-misses,instructions:u,cache-misses:u,branch-misses:u,iTLB-load-misses,L1-dcache-load-misses,LLC-load-misses,dTLB-store-misses,cpu-cycles:u,branch-load-misses,LLC-store-misses,cpi
120,24.239094976,42592,260336,455426902,2510516,4463,1891,48549751,2146583,2850,317154483,3307,177330,0.696389435071185
121,24.439348887,69834,37417,429738172,3841477,3982,2026,58419287,3805814,33,316772679,3976,5864,0.737129488697132
122,24.639623903,68748,34425,427924288,3840443,4008,1870,58091995,3826863,13,316663264,4057,2313,0.739998342884431
123,24.839876717,132252,31576,451168484,3489739,3802,1357,50382685,3314185,90,316699037,3547,2265,0.701952924974254
124,25.040138884,64148,8621,349612044,1668537,16807,1605,39784329,1147661,40210,316858653,36232,122612,0.906315038162701
125,25.240398951,34754,13870,424381767,3140992,10103,4780,47466771,2992357,4011,316928002,9276,214313,0.746799289329506
126,25.440645833,50319,22218,508811928,1543836,3454,1052,34606746,2064218,3582,317463268,3407,337552,0.623930475151911
127,25.640887483,22346,30108,515838557,1444920,3504,338,38789290,1277961,2916,317461864,3492,162091,0.615428722207751
128,25.841145845,22785,28395,514909724,1448714,3482,342,38857622,1282100,2926,317414538,3480,162218,0.616446967701857
129,26.041396731,26822,18406,413314300,1420361,28851,122,34449763,1210045,38902,317299126,45759,197133,0.767694526901198
130,26.241648412,20674,126147,445661418,1461919,36292,1698,25445514,808048,159455,316493050,6780,214353,0.710164796002152
131,26.441915659,16087,1152124,480048473,1230842,1419,344,38251389,957059,6098,317091891,1370,324528,0.660541401201374
132,26.642142911,15993,378890,472412937,1243456,1364,218,41196911,933525,5931,317488638,1364,316780,0.672057458917557
133,26.842422055,16852,934113,438968974,1181250,1344,260,40298156,948659,6097,317482518,1338,314624,0.723245916692053
134,27.04274115,14041,783868,446819358,1270165,1342,318,38133748,834808,5020,317321303,1254,264989,0.710178055893451
135,27.243008294,23241,423585,455141978,1371209,2547,1752,41312761,950167,4928,317344810,4182,319235,0.697243553307228
136,27.443279781,68050,148466,403737371,3457961,3759,1595,52376438,3455369,62,316837794,3920,2650,0.784762117054554
137,27.643577172,44081,369783,273017148,2410198,3357,50,39206028,2407885,118,316079393,3346,1997,1.1577272538207
138,27.843845049,65102,86574,389099675,3510338,3695,1404,54368952,3538507,46,316526303,3655,3161,0.813483853462484
139,28.044114336,113913,38216,482811647,3242223,5862,1917,49626534,2903313,186,316748294,4133,4207,0.656049405535571
140,28.244557273,47642,12809,317918119,1818766,31232,2816,42386345,1953441,31336,315855260,35165,296523,0.993511351267148
141,28.44483085,43551,17805,376574003,3541889,8909,835,45581191,3326757,4151,316269885,9315,205573,0.839861175971831
142,28.645118691,17722,336466,466930414,1719051,5340,1464,37127382,848311,6171,317699426,2490,280477,0.680399940707225
143,28.845413183,16593,420025,480922974,1251431,2509,1552,41116820,931869,6115,317582300,2506,318018,0.660360010166618
144,29.045688946,16508,387772,481253495,1257391,2476,1326,41011837,932689,6029,317548530,2472,317261,0.659836309344621
145,29.245954638,14965,1042572,441780646,1208098,2403,1496,39338745,950133,5137,316964600,2279,300505,0.717470543062224
