index,time,cache-misses:u,dTLB-store-misses,branch-misses:u,iTLB-load-misses,LLC-load-misses,L1-icache-load-misses,L1-dcache-load-misses,branch-load-misses,cpu-cycles:u,instructions:u,dTLB-load-misses,LLC-store-misses,cpi
176,35.43879648,4887003,3291,235490,14991,4854932,169238,10243672,195023,385746072,250577016,643681,4926,1.53943118230764
177,35.63903242,5196064,3237,395862,15639,5009108,112505,9350685,322513,406390454,325006087,686088,4399,1.25040874695987
178,35.839253103,4976073,2920,311992,13672,5061533,132970,10011928,202975,386767118,264934200,685364,3833,1.45986104474243
179,36.039473753,5077756,3109,242094,14854,4938998,133986,9188670,243180,414868019,264395451,665221,3922,1.56911935296496
180,36.239705731,5043305,3441,391085,14693,4937831,145477,10815165,413842,420291345,334598628,657201,4646,1.25610600232348
181,36.4399443,5022843,3291,149715,13718,5043099,132177,9252974,191703,371922949,220920149,657803,4527,1.68351755457127
182,36.640180053,4933178,3463,356039,16025,5012041,125466,9678860,252761,388105319,285348892,651167,4786,1.36010802873557
183,36.840416382,5008551,3529,301351,14529,4946986,144586,9340513,317026,400768108,297821595,629701,4530,1.34566503815816
184,37.040631908,5103829,3664,236917,14375,5085658,133686,8880381,284145,398630983,267400936,649619,4098,1.4907613599378
185,37.240862443,5032622,3846,378783,14367,5031384,134022,10255917,381379,402191115,312347427,630307,4876,1.28764023722853
186,37.441085477,5099977,3441,339564,15305,5116648,127964,9117152,430858,419285930,336720032,658631,5737,1.24520637370336
187,37.641304196,5069190,3044,170360,14891,5032535,111451,9443265,148438,372621323,247802413,640409,4626,1.50370336789255
188,37.841524308,4984732,3369,178911,13229,5009127,123697,8702128,306512,387089504,254151893,653849,4302,1.5230636271515
189,38.041759044,5076482,3052,376234,13231,4911506,120880,10501316,334109,399025828,305663426,644823,4660,1.30544184897018
190,38.241979099,5186689,3426,423466,13579,5032317,113299,9108009,471830,416953066,345141445,613589,4936,1.20806432273006
191,38.442212898,5078897,3560,296415,13656,4988256,125304,8899894,267961,394789003,287935648,664173,3219,1.3711015143217
192,38.642453702,5095734,3860,180513,13290,4989654,125252,8734902,226038,385395417,243419173,617963,4292,1.5832582628978
193,38.842685431,5059631,3181,376095,13021,5153465,146950,9836276,357392,405875170,316413955,648308,4030,1.28273473273326
194,39.042867829,4819968,2887,382380,14852,5121881,122111,10879756,173584,386496202,290931014,661908,4259,1.32848057924825
195,39.243088098,5089964,3082,380490,14421,5201729,113269,9714456,283798,398526379,314142614,676888,4138,1.26861610376744
196,39.443326247,5161935,2838,193821,13223,4978168,124371,9077730,158616,398048030,244955286,648377,4011,1.62498240597266
197,39.643559912,5030473,2339,287743,11309,5029590,115558,9181683,163673,395410749,285867754,669323,4608,1.3831946537069
198,39.843787146,5052601,2909,328908,12569,4987222,125885,8269768,317383,401507090,305576391,670099,3078,1.3139336081759
199,40.044023185,5098149,3075,381144,13294,5085502,120590,9596923,322366,403887465,301613944,659897,3517,1.3390875091637
200,40.24424094,4939122,2721,168362,12826,5098388,134276,9379949,231073,388797163,226927548,670474,4097,1.71330967274189
201,40.444496969,5161497,3554,308246,13236,5038014,114359,8092077,419808,421232422,316410599,622025,4524,1.33128417104637
202,40.644707845,5089146,2714,231955,13158,5249537,122516,9770258,231462,386330517,246961465,644258,4148,1.56433521723723
203,40.844928524,5152781,2759,308672,13681,5108375,123872,10317696,266422,395367053,267174470,656828,3892,1.47980850490692
204,41.045185178,5101738,3114,378129,16117,5078394,131863,10429710,266619,421299798,299868297,643308,4629,1.40494944685666
205,41.245407865,5122139,3465,233035,15211,5024090,125561,10031841,295047,403630832,272099154,633968,5309,1.48339612992696
206,41.445627906,5078905,3612,391355,13620,5117310,115615,10217821,328564,409694451,327794024,646258,3989,1.24985332557497
