index,time,branch-misses:u,cpu-cycles:u,LLC-store-misses,cache-misses:u,iTLB-load-misses,branch-load-misses,instructions:u,dTLB-load-misses,dTLB-store-misses,LLC-load-misses,L1-icache-load-misses,L1-dcache-load-misses,cpi
142,28.637510966,1547595,429464578,281309,3805157,12874,1554805,296237450,2054581,227732,3459538,176946,11078348,1.44973087636286
143,28.83773565,1548500,427022186,271935,3791180,13653,1542895,296880132,2082606,209068,3423523,175912,11135313,1.43836565661457
144,29.037946635,1524965,418879286,275443,3751861,12109,1540047,293939930,2075575,225794,3503835,179839,11203173,1.42505064214991
145,29.238155032,1533176,426184815,284613,3774609,16969,1528301,294933845,2066679,229553,3503992,176132,11021436,1.44501833962121
146,29.438361119,1536116,420182824,270832,3758956,13616,1523610,294612433,2039537,233175,3489791,174134,11104595,1.42622230746114
147,29.638584061,1542421,424777654,274988,3787315,11074,1522201,294290633,2073939,228882,3462874,177739,11092115,1.44339508760376
148,29.838791066,1538906,420211304,277286,3753529,14876,1525280,295870194,2027619,240805,3484900,178777,10940119,1.42025561385207
149,30.039009787,1540739,417716853,276938,3741829,12407,1521383,294626400,2049738,230360,3475862,181926,10941358,1.4177848726387
150,30.239236717,1533247,421168418,275175,3747398,13769,1545051,294404332,2071488,217875,3489548,176529,10895855,1.43057819543226
151,30.43944469,1551341,423728060,261607,3727838,11011,1548181,296983697,2047326,221284,3504123,185848,10985367,1.42677212345431
152,30.639650111,1544242,435777431,264803,3754408,15953,1562926,301013091,2093649,222736,3489379,186450,11061762,1.44770258845653
153,30.839877581,1548125,429230593,259613,3777042,13455,1559147,299415885,2079164,218011,3462024,182276,11119041,1.43355985605106
154,31.040071835,1540784,420869463,266229,3731765,12562,1539731,296843406,2064090,213121,3455607,182943,11009758,1.41781644629155
155,31.240257007,1536663,420315930,272054,3768467,15039,1559894,295990746,2063944,194141,3534748,190246,11045269,1.42003064514726
