index,time,iTLB-load-misses,dTLB-store-misses,L1-icache-load-misses,cache-misses:u,cpu-cycles:u,LLC-store-misses,LLC-load-misses,dTLB-load-misses,branch-misses:u,instructions:u,branch-load-misses,L1-dcache-load-misses,cpi
167,33.741617146,1730,262,318633,840,510934618,69,2629,30613,1093856,1286739318,1090321,17911977,0.39707702317992
168,33.941811065,1583,534,184297,2609,509102921,98,3493,31700,1127657,1271463553,1220790,16784648,0.400407011116268
169,34.141987122,1347,992,214560,317,508399749,112,409,31254,1234863,1249538881,1294406,17360483,0.406869891550017
170,34.342145649,985,201,284698,2391,510611147,0,1066,37255,1285494,1245566301,1178573,18256595,0.409942968583894
171,34.542318157,1016,2211,238707,7097,510599257,28,647,36511,1180093,1246005295,1349700,17986170,0.409788994516271
172,34.742502964,1060,706,259808,4721,511060851,38,2655,35385,1259070,1252328649,1239211,18681958,0.40808844500051
173,34.942699352,1349,1167,317931,9020,498749452,63,977,39961,1260604,1181930778,1284711,17795558,0.421978563621092
174,35.142883777,1876,1877,265920,1786,508849905,58,766,40357,1297553,1231493054,1329015,18398455,0.413197543702914
175,35.343041011,1466,1543,286056,1132,505676516,3,1451,46807,1307165,1224153411,1312918,18846179,0.413082634460756
176,35.543219444,2374,1660,266999,3922,508286712,12,4648,51142,1300060,1222906653,1385618,19511891,0.415638193441082
177,35.743381121,1804,1575,302133,1262,510904950,3,1826,47803,1356129,1227444684,1419830,20028554,0.416234602389626
178,35.943537389,1892,1951,336317,2705,509030579,5,1877,52295,1314412,1229300626,1398847,19884831,0.414081444549757
179,36.143706107,1506,1899,339516,1831,511321047,8,1436,52490,1314772,1237486543,1377937,19847208,0.413193218053443
180,36.343904282,982,2392,293850,3766,507173438,35,4583,60246,1206463,1230239371,1452041,19417962,0.412255899100143
181,36.544076581,1723,2415,273993,4385,509825233,0,3778,56065,1452277,1205552135,1723775,19414646,0.422897706535106
182,36.744246652,1548,1538,246589,1157,508791826,6,1857,61104,1360966,1213337319,1568165,19327061,0.419332545066142
183,36.944419513,1673,1660,251552,2022,500909211,21,3385,56923,1353635,1195412690,1575717,19079492,0.419026178315039
184,37.144596521,2223,1907,240680,2099,497518384,57,4612,51573,1441469,1178869673,1536691,18647804,0.422030013490728
185,37.344781992,1736,2274,281626,1238,510268048,69,2402,54591,1538948,1202247914,1600645,19321014,0.424428308053608
186,37.544969906,1711,2116,282244,3960,508836016,30,2142,52172,1410594,1207293591,1602105,19049547,0.421468331972616
187,37.745156299,1310,2721,288077,1118,509677900,3,1063,47822,1489190,1200313013,1727256,19224530,0.424620823468486
188,37.945330073,1757,1933,363867,4419,498921835,175,3618,55496,1547379,1154780035,1681786,19690169,0.432049238710643
189,38.145530636,1254,1760,406026,1071,509461794,18,427,39195,1751192,1178538062,1675191,20065406,0.432282851463816
190,38.345700704,1721,1685,438000,1641,510158531,30,859,38892,1541282,1202849145,1294685,20202068,0.424125114209563
191,38.545871354,1253,3603,369624,1688,509863609,0,952,66402,1348485,1225836078,1456560,20112618,0.415931312636729
192,38.746055822,1205,2853,333814,8927,509471376,3,4519,57444,1522001,1164883185,1612537,19595994,0.437358339926591
193,38.946240424,863,1810,425541,1481,508971018,68,703,39126,1838950,1179068070,1619312,19838767,0.431672293525852
194,39.146413996,2326,3274,379993,2652,507746512,0,1526,59776,1378780,1227430999,1456306,20108425,0.413666032887931
195,39.346602249,1529,2587,393752,1849,508785799,40,1130,56262,1717454,1185372105,1791295,20042719,0.429220324026437
196,39.546784423,2765,2611,452142,7038,509653276,85,3668,46944,1573723,1199375031,1412526,20608292,0.424932371299299
197,39.746976088,2656,2462,360974,2509,508812341,2,1336,58603,1409260,1228065986,1389587,19723161,0.414320033939935
198,39.947156349,2311,2196,392697,1058,507924032,62,472,49171,1657019,1180325035,1627679,20313323,0.430325560280944
199,40.147329462,1661,2190,458004,2783,510638575,0,1085,44303,1549191,1214080494,1381676,20192414,0.420596968259997
200,40.347463307,1385,2120,413176,2070,507064892,59,6119,52582,1612038,1188545315,1620979,20776275,0.426626469854033
201,40.54764305,1232,2962,466884,5413,508512821,0,1110,53765,1567508,1187630078,1479739,20521554,0.428174420991719
202,40.747806421,2108,2401,426667,1646,510562036,8,1298,44724,1618274,1191767492,1559224,20390032,0.428407419590868
203,40.947966485,1986,2652,459922,2238,510060603,101,722,41355,1692102,1184943843,1586409,20344763,0.430451287639629
204,41.148150089,1396,2102,396396,3550,508485965,28,3187,45614,1554623,1199787480,1498095,19943420,0.423813361512991
205,41.348337853,1226,3407,424516,1957,510893727,90,1379,52837,1538036,1197933685,1574514,20731159,0.426479139369055
206,41.548512508,1432,1835,384123,3521,510835562,0,813,41511,1600732,1199513104,1541120,19600973,0.425869096633062
207,41.748707581,1510,2696,449970,2229,508615696,0,1976,46093,1493425,1204412398,1449874,21004160,0.422293640321693
208,41.948884885,1560,2790,428468,3223,506805560,97,1430,48445,1691510,1157170974,1757482,19795979,0.437969471570931
209,42.149069984,1938,1826,356321,1596,510523153,0,1437,43466,1322922,1224578609,1471612,19491651,0.416897003792102
210,42.349238111,1475,3006,426990,1341,508167007,6,444,39738,1607090,1193094202,1529770,21025675,0.425923624595738
211,42.549411747,1763,3385,522765,5776,507308225,334,11074,49297,1671056,1172861124,1582000,23124480,0.432539040316934
212,42.749582014,2583,4081,473820,3328,507786164,6,2176,51536,1676217,1165043908,1776223,21711175,0.435851525005356
213,42.949771216,1232,2957,491788,2584,510204336,62,390,36632,1709484,1191418962,1506764,21089540,0.428232512888275
214,43.149945082,1257,2809,407585,1218,510593110,58,457,46894,1613900,1185944070,1585526,20167969,0.4305372596534
215,43.350115032,1591,3151,409691,1278,508624969,195,550,43688,1761515,1154856869,1754624,19545004,0.440422516982925
216,43.550287723,2191,2687,372870,1373,509178679,121,3553,45457,1385727,1189200907,1621739,19361296,0.428168761058639
217,43.750477734,919,2929,407931,2334,509964895,6,603,38559,1509440,1203350293,1618778,20334296,0.423787568729166
218,43.95065145,1579,3930,427408,789,510425696,15,572,61825,1524629,1197859472,1700675,21225036,0.426114838953329
219,44.150819421,1305,3108,478938,1075,510614635,0,793,44129,1618301,1199516966,1528054,22012803,0.42568354552144
220,44.350999657,1461,2091,448476,2332,510841801,16,3142,34182,1412154,1217743001,1313747,21742261,0.419498860252534
221,44.551182487,1110,2118,501138,2001,510934135,8,1013,33307,1624141,1198758340,1470015,22110358,0.426219462214544
222,44.751358084,1523,2718,414281,1264,509233345,46,403,35913,1830944,1149153562,1718824,20087102,0.443137768388173
223,44.951529301,1826,4062,422476,1632,511072806,18,1763,49372,1193991,1229858947,1507311,20437454,0.415554000925604
224,45.151692533,1804,1985,536852,2436,508902843,3,1254,21889,1829741,1166068974,1619294,22286108,0.436426021399314
225,45.351862783,1337,2717,343159,1523,510487429,0,1156,35779,1313570,1214273143,1605832,19850364,0.420405764504338
226,45.552033383,1264,3193,498755,910,510066132,11,741,40096,1704320,1166663688,1732529,22278503,0.437200657950023
227,45.752199919,1554,2407,461454,2952,510455478,0,1250,30189,1477065,1187377726,1552639,21289951,0.429901510549306
228,45.952370557,2799,2769,490239,1106,510158862,28,1113,41695,1684724,1186852493,1609841,22604427,0.429841842190915
229,46.152555725,1723,2965,469546,2521,509668840,3,1294,41228,1515543,1185583978,1521464,21324084,0.429888434271672
230,46.352729798,1770,2714,437484,1053,509712566,118,1008,37975,1655492,1178095277,1611914,20392904,0.432658186439703
231,46.552907604,1886,1541,480548,1889,511098434,0,1345,27243,1446760,1213969840,1268237,21883116,0.421014111849764
232,46.753105068,2981,4566,389196,1681,510943450,244,1499,42090,1589156,1182522958,1709325,19972223,0.432079095414907
233,46.953278757,1932,1838,472451,2382,510250039,0,1573,30484,1452363,1218396396,1276712,22155564,0.418788204458871
234,47.153440625,3051,2956,366149,1319,509079291,50,1026,35057,1631417,1161423758,1729303,19809151,0.438323469356824
235,47.353627491,2699,1635,456911,2319,510861728,0,1870,37395,1453021,1237342203,1167759,22080852,0.412870204185543
236,47.553803557,1676,2752,482240,3216,508197291,109,863,40328,1845444,1146070697,1816175,21725289,0.443425778470977
237,47.753981534,950,1974,398620,1664,509917380,19,1294,32393,1236501,1236279801,1321622,20765276,0.412461143171262
238,47.954163078,967,3223,494579,2156,510688839,52,3696,46781,1602521,1173116770,1802026,22186442,0.435326518262969
239,48.154342277,1889,2304,457998,2615,510796575,0,1028,31723,1548177,1198654684,1537762,21046394,0.426141558380629
240,48.354517208,3177,3085,478196,4690,508224426,18,1836,52915,1674109,1182776299,1658760,21820092,0.429687698704893
241,48.554702983,2205,2611,463099,1748,511337684,3,1491,42054,1589053,1190545480,1561135,21765074,0.429498656363804
242,48.754875759,929,1892,426657,1259,510947219,90,384,26439,1713484,1180127334,1532715,21633508,0.432959397074689
243,48.955049052,1682,3021,414485,1346,509873244,24,987,48376,1404764,1220539931,1598190,22217934,0.417744009065116
244,49.155240489,1303,1539,512983,3375,510322692,0,1294,29469,1578083,1193288099,1422176,21402440,0.427660924824157
245,49.355427294,1328,3219,349975,918,509958342,59,544,45435,1656762,1164590805,1920466,19599649,0.437886285732782
