index,time,dTLB-load-misses,cache-misses:u,branch-load-misses,L1-icache-load-misses,branch-misses:u,L1-dcache-load-misses,dTLB-store-misses,iTLB-load-misses,LLC-store-misses,instructions:u,cpu-cycles:u,LLC-load-misses,cpi
107,21.620689777,150753,449582,4615911,265597,4645612,2086888,372,2311,1085,742917580,456868761,458742,0.614965607625007
108,21.820877693,173990,488638,5241671,279885,5196430,2258787,459,2399,540,828752862,513783803,490240,0.619948149271067
109,22.021067258,161222,428651,5533184,267055,5724466,2280654,454,2156,151,834381600,514302335,448182,0.616387435916612
110,22.221269267,168011,439034,5620150,271154,5564305,2253819,401,2443,62,824710674,511332096,449415,0.620013917753658
111,22.421435999,154920,473720,4832798,341659,5011087,2190542,497,1717,860,710842825,487613411,490483,0.68596515833159
112,22.621645488,131814,444016,4434864,238075,4444289,1834556,400,2117,1517,755688879,456589182,434592,0.604202595391112
113,22.821847125,129284,423619,4753345,240947,4910150,1978360,428,1809,744,798741385,475584295,415825,0.59541711989795
114,23.022040042,136452,385450,5558421,247819,5441685,2109838,357,2338,74,869027594,514717919,381226,0.592291801265864
115,23.222234932,144984,394146,5203229,247971,5084755,2236205,393,2013,60,872526958,515324330,391661,0.590611356216687
116,23.422442085,151235,405506,5422161,226474,5508451,2182373,513,1892,218,848738477,513606185,397890,0.605140686935064
117,23.622619593,139137,413121,4816202,242287,4988437,2122997,434,2011,419,798431913,483360133,438425,0.605386790194595
118,23.822853079,142488,428772,5321971,278736,5214383,2121628,422,2155,710,850665633,515332662,437486,0.605799319977935
119,24.023064758,133664,344638,5530873,274487,5393955,2111142,422,1905,226,877906306,515006132,374706,0.586629949551815
120,24.223254546,134108,397347,5432072,288632,5449199,2244909,428,1935,404,854233378,515962401,385300,0.604006369088519
121,24.423425437,127963,394690,4935205,259763,4776045,2010138,491,2227,779,741937254,456307689,385306,0.615021939577656
122,24.623617558,131393,368777,4488187,691822,4408546,3225382,379,2014,500,684046643,493339505,401199,0.72120740602772
123,24.823807152,155955,399944,5356126,238566,5371951,2321083,384,1961,131,851094468,513783714,425903,0.603674131741625
124,25.023998419,148483,400144,5624225,249618,5605225,2361305,441,1767,218,836345653,515376575,410825,0.616224372245287
125,25.224202052,148601,424291,5524627,240483,5692972,2457466,434,2461,292,840015089,515726264,410698,0.613948809674298
126,25.424371579,133911,399595,4966389,226667,4921833,2127402,391,2249,715,746448106,456449546,424404,0.611495350220635
127,25.624538487,121945,384875,4333789,342251,4526943,2154479,371,2052,1202,675882938,465455808,403153,0.688663349569567
128,25.82474411,147174,424830,5345192,262316,5297262,2334446,386,2051,406,825616511,504449445,436546,0.610997282974638
129,26.024939302,149009,423546,5200121,246433,5231328,2165474,403,1895,106,848770978,515278364,428308,0.607087633008112
130,26.225132909,150398,410632,5256805,208336,5202315,2149719,491,2133,30,865310313,515221886,414353,0.595418635672727
131,26.425338153,129870,328979,5749692,223374,5546880,2105590,366,2107,280,891642882,515477636,348426,0.578121181031309
132,26.625525428,113019,359047,4363926,576041,4500350,2420750,370,2213,1036,667742647,485176030,365222,0.726591347998775
133,26.825712692,131560,362932,5669386,251790,5648655,2130997,402,2120,118,852047121,513529495,360633,0.60270081588598
