index,time,instructions:u,L1-icache-load-misses,cache-misses:u,iTLB-load-misses,branch-misses:u,L1-dcache-load-misses,cpu-cycles:u,branch-load-misses,LLC-store-misses,dTLB-load-misses,LLC-load-misses,dTLB-store-misses,cpi
156,31.433806597,634740097,172799,839679,9831,5180646,6424726,506192250,5046953,512,989766,866030,4768,0.797479554848415
157,31.633999992,629308977,186313,893810,8978,4999791,6337792,505243816,5159332,422,974208,841908,4363,0.802854932101183
158,31.834195775,679748712,168670,660580,8131,5412932,6471635,507127563,5389159,334,912993,647684,4373,0.746051524699322
159,32.034404181,637009889,262888,718815,8822,4882436,5936052,505208825,4861118,472,871034,823543,4103,0.793094163409447
160,32.234600876,702645490,140300,2349997,9679,4122607,9499244,495812155,4554662,591,834338,1064021,14240,0.705636287511075
161,32.434803153,706735689,155337,967728,8794,5318861,6582888,507037517,5386174,1125,884080,1042642,3803,0.717435846090405
162,32.635015803,656415200,150025,836465,9759,5028765,7387951,508467842,5073006,425,1016457,908500,4537,0.774613144241632
163,32.835214712,672338208,144026,751144,7463,5015947,7549750,508291903,4961571,237,1001850,727016,4634,0.756006273259425
164,33.035413375,637701586,149823,856798,8418,5043162,7970398,501261367,4844087,28777,859221,833977,17890,0.78604378286743
165,33.235618403,701843092,166911,830408,9191,4742250,8235252,505843907,4771915,294,877579,768698,4385,0.720736461989712
166,33.435798385,687589633,227994,630527,8808,4869879,7995390,505391340,4935768,452,903601,673986,4379,0.735018848080858
167,33.635980289,667872136,175044,668272,8760,5356206,6540459,507036720,5362520,454,929026,756223,4491,0.759182323485943
168,33.836183381,726378403,162040,505606,8130,5462199,5880568,503344590,5421882,384,834860,451558,3590,0.692950930150383
169,34.036376159,670142816,169751,690334,8568,5340538,6611390,505455998,5404816,390,925517,810237,4237,0.754251162486535
170,34.236571216,655221389,160469,1130197,8574,5298289,8117018,507248210,5549660,647,936140,1019250,4979,0.774163082151764
171,34.436780281,658082267,216784,646044,9206,5103492,5896519,500062640,5235371,365,897402,580056,4747,0.759878612562584
172,34.636971398,707500488,225015,570046,9628,5426797,5542169,504557664,5227147,347,788662,602166,3837,0.713155216933221
173,34.837175159,752631629,106429,3290800,11060,3480908,18924957,504571521,3148326,170742,514242,4232217,86682,0.670409668632196
174,35.037430172,801027514,40963,8873649,5789,168056,34605121,502236468,165161,363183,237900,8309492,217861,0.626990283382451
175,35.237658616,717430789,120353,4941785,7620,2139376,18711724,490384558,2506703,152531,648947,3751026,131013,0.683528732692848
176,35.437863607,787848566,165353,1252515,8276,4242220,6476787,503293933,4038951,353,691518,489059,18460,0.638820649957241
177,35.638109572,762416172,171818,1198415,7745,4779291,8200246,508366634,5018923,9408,713842,513438,8308,0.66678364477295
178,35.838343418,628303030,246730,2435868,8246,4419338,17078046,505695870,4874488,99027,827973,3677515,10145,0.804859830136423
179,36.038568766,619348777,159103,1029900,8880,4838409,8519764,502492337,4699318,82461,881948,1798355,31260,0.811323692982767
180,36.23878265,668076722,161544,1312510,9594,4658425,7626934,507178975,4031948,48542,862914,1449995,36193,0.759162770230452
181,36.438997067,741321516,175627,553642,7003,5269552,5665523,506589831,5197932,434,749007,474281,3227,0.68336048538486
182,36.639197322,658175219,159594,811850,10098,5029272,7676660,502999506,4799794,70077,947374,1289803,12290,0.76423343128025
183,36.839412018,644092308,176870,986052,8871,4933710,6840245,506149118,4491539,26142,828149,1052442,26959,0.785833197685075
184,37.039613776,625421530,130162,2399365,9137,4596341,11542934,507248966,5354426,851,1077714,1336329,4457,0.811051333650122
185,37.239794838,612742282,142996,1499275,9168,5087900,9756707,505833020,4976213,37598,1058284,1639675,21471,0.825523282560089
186,37.439996759,627740474,149138,1859389,9291,3957691,8675619,497353150,4191588,349,1030504,906953,16071,0.792291035228039
187,37.640186993,638592229,144682,2020761,8274,4191500,8110081,503532783,3689065,17207,825192,900335,61300,0.788504400982932
188,37.840390494,641075855,144110,838484,9436,5006986,8507561,507779415,4855205,225,942288,730442,5574,0.792073841246135
189,38.04059246,660984230,181252,954359,9365,4405393,7941182,505480202,4006539,51755,718970,1605427,66553,0.764738671601893
190,38.240777279,673744270,137390,2767596,9606,4228508,12898304,505860215,4791364,52762,979811,2129401,3819,0.750819320511624
191,38.440990337,673977348,172764,756053,10036,4933020,7677318,506484861,4893647,64268,826686,1811459,9790,0.751486474290231
192,38.641223257,654074596,155591,1925272,9274,4043141,9000608,491363797,3728883,22501,839934,1535680,32546,0.751235103770947
193,38.841425448,726503570,117562,3705536,6520,2796163,18851994,502393504,2694369,172140,544749,4128790,74506,0.6915224160564
194,39.041659414,809100573,37693,8922852,5284,163708,35409157,503026378,163607,403852,240894,8328298,228846,0.62171056947206
195,39.241918164,783721537,39353,8651319,5472,177083,35742609,499279070,177647,406439,242742,8325840,211002,0.637061821614837
196,39.442154861,782541733,39959,8301033,10477,160752,34560113,498376021,164782,428198,223625,8023292,205546,0.636868297220897
197,39.642392889,786010586,39920,8625082,4864,167517,34301547,499067366,163346,372610,239841,8065986,209243,0.634937206812632
198,39.842619291,806810859,49976,8374727,5395,164532,35286065,501155381,159418,352056,232280,8218371,203008,0.621155969096841
199,40.042843059,748663077,46414,7841735,4545,171343,32760427,499986392,159142,388250,235688,7372155,176353,0.667838988405194
200,40.24307822,781960448,50737,8203094,4971,176728,34737312,500563072,166919,363931,240132,8448341,217785,0.640138607112773
201,40.443319338,771520699,55539,7103961,9467,1384486,31408397,505753724,816152,390264,224065,7857430,262731,0.655528393023711
202,40.643514648,627744542,113741,2607567,7810,4397153,13254587,501512488,4083705,85345,795510,2376937,53818,0.798911745854733
203,40.843700502,631922215,103712,2958581,7750,4017639,13242585,504946672,4611756,60931,956422,2150754,39441,0.799064600063158
204,41.043931088,616475246,129250,1346657,7913,4814780,11865892,505126278,4820495,185728,740058,3514812,46261,0.819378038741234
205,41.244137887,591084381,251293,1705169,8917,4429466,10381806,505070929,3781379,36223,715523,1245152,50866,0.854481940709579
206,41.444357742,635480075,115487,1660857,8483,4756316,12875433,501197106,5084197,138348,937515,3286771,20128,0.78869051244447
207,41.64456383,691756474,95879,4099202,8948,3298706,18183101,507088720,3615002,182529,665274,3954164,78504,0.733045138078462
208,41.844747887,680776228,79788,5409906,8324,2464710,24888117,499780553,3400555,135209,796147,4908575,56598,0.734133379580933
209,42.044958199,799333474,36609,8695678,5858,167208,35136164,499848435,167542,430173,240721,8400133,191837,0.625331543415383
210,42.245199794,793197827,38862,8577056,9543,156510,34461896,492715972,177045,414944,227119,7961706,229432,0.621176653828629
211,42.445430101,762605528,61256,7929769,4836,173604,33937732,501005157,168350,340116,228988,7279058,191214,0.656965021370787
212,42.645646704,792839417,339070,460603,7454,5103314,5788048,508943313,5416653,447,588223,262392,2793,0.641924836337949
213,42.845853413,782680670,247589,493314,11122,5073610,4934065,505490684,4931095,292,731920,420342,3770,0.645845366284567
214,43.046047677,815767486,245646,342246,7085,5195563,5694757,506313658,5195094,8508,640374,613238,3484,0.620659276925386
215,43.246240297,782775233,278506,201120,5779,5622149,5160936,508748414,5599968,480,638335,304422,2820,0.649929114453727
216,43.446435868,790701779,231504,561183,9197,4986238,4736014,504551040,4875925,269,776693,569302,4220,0.638105355774089
217,43.646640001,787764639,221479,603950,10224,4947791,5000082,508120133,4950270,218,840541,563793,4866,0.645015157883978
218,43.846834373,710160442,378502,353455,8136,4934427,5429964,503289762,4281032,18057,540643,329993,24220,0.708698671785495
219,44.047028574,791250964,295174,298926,6852,5268344,5589515,509112974,5337770,390,641944,325303,600,0.643427935210705
220,44.247236385,781367651,227497,640717,8570,4732930,5166074,502529272,4712664,238,796166,558828,3775,0.64314061550521
221,44.447429997,820049857,213046,506901,8357,4654921,5425203,507290769,4314505,40530,738623,1205078,23182,0.618609667046134
222,44.647627031,813803075,270306,1780224,5330,4186182,5903201,507961293,4652428,519,533378,375379,5417,0.624182076235089
223,44.847874529,829094683,187874,2028762,6566,4595904,10610091,506493889,5218296,18467,500653,1662196,459,0.610899936262165
224,45.048056219,767049937,360752,328128,8954,5139462,4429848,500917248,5031285,406,562152,257071,663,0.653043855213823
225,45.248246206,850749156,245988,537652,7449,5203468,4158489,509703499,5257338,452,604230,353115,1560,0.599123132130383
226,45.448452979,858389865,214511,99187,5350,5751529,3802907,509424926,5726619,354,479226,102325,2894,0.593465681237977
227,45.648643993,808782002,225795,139718,7311,5961924,4408508,508198145,5842758,464,569182,169441,2837,0.628349967906432
228,45.848835262,804843007,217813,1092972,10925,4782451,6250585,502195960,5030081,350,669119,595255,4017,0.623967600677681
229,46.049037777,857386154,201675,104011,3966,5545701,3759818,504260238,5572580,456,428920,104418,3487,0.588136670562562
230,46.249227387,857662361,208576,73123,5095,5737365,3820061,505695231,5715304,347,461308,78394,3180,0.589620407744581
